Ciudad,Latitud,Longitud,Temperatura,Humedad,Descripcion
Tokyo,35.6762,139.6503,17.3,63,Parcialmente nublado
París,48.8566,2.3522,16.4,63,Cielo cubierto
Barcelona,41.3851,2.1734,18.3,73,Soleado
Roma,41.9028,12.4964,21.0,60,Parcialmente nublado
Madrid,40.4168,-3.7038,24.1,41,Soleado
Amsterdam,52.3667,4.9,13.3,67,Soleado
Lisboa,38.7223,-9.1393,19.3,68,Soleado
Estambul,41.0082,28.9784,14.3,72,Soleado
Buenos Aires,-34.6037,-58.3816,21.2,78,Soleado
Seúl,37.5665,126.978,10.0,29,Despejado
Cancún,21.1619,-86.8515,28.4,62,Cielo cubierto
Honolulu,21.3069,-157.8583,23.2,78,Parcialmente nublado
Río de Janeiro,-22.9068,-43.1729,25.1,89,Ligeras lluvias
Sydney,-33.8688,151.2093,19.2,88,Parcialmente nublado
Bali,-8.3405,115.0917,29.1,89,Parcialmente nublado
Dubai,25.2048,55.2708,30.3,66,Despejado
Marrakech,31.6295,-7.9811,21.1,69,Parcialmente nublado
Lima,-12.0464,-77.0428,20.1,78,Soleado
Cartagena,10.3997,-75.5144,30.1,70,Parcialmente nublado
Mykonos,37.4454,25.3265,20.2,49,Soleado
Nueva York,40.7128,-74.006,18.9,52,Soleado
Montreal,45.5017,-73.5673,12.2,58,Soleado
Vancouver,49.2827,-123.1207,11.2,82,Soleado
Praga,50.0755,14.4378,9.2,93,Ligeras lluvias
Londres,51.5074,0.1278,12.3,77,Parcialmente nublado
Berlín,52.52,13.405,17.3,29,Soleado
San Francisco,37.7749,-122.4194,11.1,77,Parcialmente nublado
Ciudad de México,19.4326,-99.1332,16.7,74,Soleado
Zurich,47.3769,8.5417,12.2,82,Parcialmente nublado
Moscú,55.7558,37.6173,13.3,58,Parcialmente nublado
Estocolmo,59.3293,18.0686,8.0,34,Parcialmente nublado
Helsinki,60.1699,24.9384,7.2,36,Parcialmente nublado
Oslo,59.9139,10.7522,10.1,32,Soleado
Copenhague,55.6761,12.5683,11.0,62,Parcialmente nublado
Reykjavik,64.1355,-21.8954,12.3,71,Parcialmente nublado
Ginebra,46.2044,6.1432,15.4,55,Lluvia  moderada a intervalos
Kitzbühel,47.4467,12.3917,9.0,78,Ligeras precipitaciones
Quebec,46.8139,-71.208,9.6,68,Parcialmente nublado
Los Angeles,34.0522,-118.2437,14.4,70,Cielo cubierto
Chicago,41.8781,-87.6298,12.2,66,Parcialmente nublado
Houston,29.7604,-95.3698,24.3,94,Parcialmente nublado
Miami,25.7617,-80.1918,27.2,54,Cielo cubierto
Vienna,48.2082,16.3738,11.3,87,Ligeras lluvias
Budapest,47.4979,19.0402,19.0,68,Parcialmente nublado
Warsaw,52.237,21.0175,16.1,39,Soleado
Dublin,53.3498,-6.2603,11.0,94,Parcialmente nublado
Stockholm,59.3293,18.0686,8.0,34,Parcialmente nublado
Helsinki,60.1699,24.9384,7.2,36,Parcialmente nublado
Zurich,47.3769,8.5417,12.2,82,Parcialmente nublado
Geneva,46.2044,6.1432,15.4,55,Lluvia  moderada a intervalos
Brussels,50.8467,4.3525,15.1,59,Nublado
Moscow,55.7558,37.6173,13.3,58,Parcialmente nublado
Istanbul,41.0082,28.9784,14.3,72,Soleado
Dubai,25.2048,55.2708,30.3,66,Despejado
Osaka,34.6937,135.5023,12.1,41,Despejado
Seoul,37.5665,126.978,10.0,29,Despejado
Beijing,39.9042,116.4074,15.1,48,Despejado
Shanghai,31.2304,121.4737,15.3,39,Cielo cubierto
Bangkok,13.7563,100.5018,32.1,63,Despejado
Singapore,1.3521,103.8198,27.2,89,Parcialmente nublado
Kuala Lumpur,3.139,101.6869,27.2,84,Lluvia  moderada a intervalos
Jakarta,-6.2088,106.8456,28.1,84,Ligeras precipitaciones
Manila,14.5995,120.9842,30.2,70,Despejado
Ho Chi Minh City,10.8231,106.6297,30.2,79,Despejado
Hanoi,21.0278,105.8342,27.2,74,Parcialmente nublado
New Delhi,28.6139,77.209,35.3,14,Neblina
Mumbai,19.076,72.8777,28.8,71,Despejado
Bangalore,12.9716,77.5946,30.2,46,Despejado
Chennai,13.0827,80.2707,31.0,79,Despejado
Hyderabad,17.385,78.4867,29.4,48,Neblina
Cape Town,-33.9249,18.4241,20.1,64,Parcialmente nublado
Johannesburg,-26.2041,28.0473,21.2,40,Soleado
Cairo,30.0444,31.2357,26.1,37,Soleado
Casablanca,33.5731,-7.5898,20.2,73,Parcialmente nublado
Rio de Janeiro,-22.9068,-43.1729,25.1,89,Ligeras lluvias
São Paulo,-23.5505,-46.6333,20.4,88,Neblina
Santiago,-33.4489,-70.6693,13.3,77,Ligeras lluvias
Bogotá,4.711,-74.0721,17.0,88,Parcialmente nublado
Medellín,6.2442,-75.5812,16.4,88,Neblina
Caracas,10.4806,-66.9036,23.8,78,Llovizna
Quito,-0.1807,-78.4678,16.0,66,Lluvia  moderada a intervalos
Panama City,8.5379,-80.7821,28.9,55,Soleado
Mexico City,19.4326,-99.1332,16.7,74,Soleado
Guadalajara,20.6597,-103.3496,15.7,35,Soleado
Punta Cana,18.5643,-68.4053,29.1,62,Parcialmente nublado
San Juan,18.4655,-66.1057,28.3,66,Parcialmente nublado
Toronto,43.6532,-79.3832,10.4,76,Parcialmente nublado
Calgary,51.0486,-114.0708,5.2,52,Soleado
Ottawa,45.4215,-75.6972,11.1,62,Parcialmente nublado
Sydney,-33.8688,151.2093,19.2,88,Parcialmente nublado
Melbourne,-37.8136,144.9631,15.2,94,Ligeras lluvias
