Ciudad,Mejor_Temporada,Perfil_viajero,Entornos,Clasificacion_destino
Tokyo,Primavera,Solitario/Cultura/Innovación,Ciudad/Naturaleza,Cultura/Tecnología
París,Primavera,Pareja/Romántico/Cultura,Ciudad,Romántico/Cultura
Barcelona,Verano,Pareja/Amigos/Playa,Ciudad/Playa,Playa/Fiesta/Cultura
Roma,Primavera,Pareja/Cultura/Histórico,Ciudad,Cultura/Historia
Madrid,Otoño,Familia/Cultura/Gastronomía,Ciudad,Cultura/Gastronomía
Amsterdam,Primavera,Solitario/Pareja/Cultura,Ciudad/Canales,Cultura/Arte
Lisboa,Primavera,Pareja/Familia/Cultura,Ciudad/Playa,Cultura/Relax
Estambul,Otoño,Solitario/Cultura/Histórico,Ciudad/Histórico,Cultura/Historia
Buenos Aires,Primavera,Familia/Cultura/Nocturno,Ciudad,Cultura/Arte
Seúl,Otoño,Solitario/Tecnología/Cultura,Ciudad/Tecnología,Tecnología/Cultura
Cancún,Invierno,Pareja/Familia/Amigos,Playa,Relax/Playa
Honolulu,Invierno,Familia/Solitario/Naturaleza,Playa/Naturaleza,Relax/Naturaleza
Río de Janeiro,Verano,Pareja/Fiesta/Playa,Playa/Ciudad,Fiesta/Playa
Sydney,Verano,Familia/Naturaleza/Cultura,Ciudad/Naturaleza,Naturaleza/Cultura
Bali,Verano,Pareja/Solitario/Relax,Playa/Naturaleza,Relax/Cultura
Dubai,Invierno,Pareja/Lujo/Familia,Ciudad,Lujo/Cultura
Marrakech,Otoño,Pareja/Aventura/Cultura,Ciudad/Desierto,Cultura/Aventura
Lima,Primavera,Solitario/Cultura/Gastronómico,Ciudad,Gastronomía/Cultura
Cartagena,Invierno,Pareja/Familia/Cultura,Playa/Ciudad,Relax/Cultura
Mykonos,Verano,Amigos/Fiesta/Playa,Playa,Fiesta/Playa
Nueva York,Otoño,Solitario/Cultura/Compras,Ciudad,Cultura/Compras
Montreal,Verano,Familia/Cultura/Invierno,Ciudad/Invierno,Invierno/Cultura
Vancouver,Verano,Solitario/Naturaleza/Aventura,Naturaleza/Ciudad,Aventura/Naturaleza
Praga,Primavera,Pareja/Cultura/Romántico,Ciudad,Cultura/Romántico
Londres,Verano,Solitario/Cultura/Historia,Ciudad,Historia/Cultura
Berlín,Verano,Solitario/Cultura/VidaNocturna,Ciudad,Cultura/Nocturna
San Francisco,Otoño,Solitario/Innovación/Cultura,Ciudad,Tecnología/Cultura
Ciudad de México,Invierno,Familia/Cultura/Gastronomía,Ciudad,Gastronomía/Cultura
Zurich,Verano,Solitario/Naturaleza/Lujo,Ciudad/Naturaleza,Lujo/Naturaleza
Moscú,Verano,Solitario/Historia/Cultura,Ciudad,Historia/Cultura
Estocolmo,Verano,Solitario/Diseño/Naturaleza,Ciudad/Naturaleza,Diseño/Naturaleza
Helsinki,Verano,Solitario/Naturaleza/Bienestar,Ciudad/Naturaleza,Bienestar/Naturaleza
